Timestamp	Gender	Age	Education	Country	Experience	Vision	Duration	Comments
2022-03-30 09:38:21	Male	22	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	295.286	Corrected vision with laser eye surgery
2022-03-30 09:38:22	Female	25	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	708.014	I got the impression that many of the pairs were hard to distinguish from one another. While that might be intentional, I found that lichen that is smaller and more dense looks more realistic than the ones that are modelled as bigger blobs of larger pieces.  I think this was very interesting and it would have been nice to know how you intend to interpret/work with this data. Are you taking a hci-approach and looking into how people perceive the graphics, or is the aim more to examine the quality of what graphics can be generated? I will definitely look into this project once it is published!   Thanks!
2022-03-30 09:45:31	Male	29	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	451.383	
2022-03-30 09:55:43	Female	23	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	454.92400000000004	
2022-03-30 10:01:13	Female	23	Some college but no degree	Sweden	I have seen computer graphics on tv, in films, in video games or in other media	normal vision	583.965	
2022-03-30 10:01:17	Male	26	Some college but no degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	371.29200000000003	
2022-03-30 10:18:04	Male	25	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	1145.84	I don't know if this is a valid take, but the thing that stood out most unrealistic to me in some configurations was that some lichens had very sharp black edges. I don't know if that was due to them casting hard shadows or having some applied border, but those which appeared thinner definitely looked better on that kind of stone.   Maybe thicker lichens would look better on i.e a rough and jagged granite surface or the trunk of a tree? 
2022-03-30 10:52:50	Male	26	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	586.595	Good Luck!
2022-03-30 11:38:22	Female	25	Bachelor degree	Sweden	I have seen computer graphics on tv, in films, in video games or in other media	normal vision	388.339	It seems like a good way to repeat the same picture in order to evaluate if user feedback was indeed correct. Randomness is always preferred.  I think there should be a longer process of getting to know the 'lichi' because "what I sense is a realistic 'lichi'" changed two times during the process..  
2022-03-30 11:58:20	Female	28	Some college but no degree	sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	340.65000000000003	
2022-03-30 12:14:34	Male	25	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	260.399	
2022-03-30 12:15:40	Male	24	Bachelor degree	Sweden	I have seen computer graphics on tv, in films, in video games or in other media	normal vision	775.567	
2022-03-30 12:50:18	Male	25	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	242.822	
2022-03-30 12:53:40	Non-binary	20	Some college but no degree	Sweden	I have professional experience creating computer graphics	normal vision	317.927	
2022-03-30 13:12:52	Male	23	Some college but no degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	551.44	I thought that the lichens with small circles looked a lot better than the ones containing bigger circles.
2022-03-30 13:25:18	Male	23	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	294.545	
2022-03-30 13:32:21	Female	25	Master degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	628.743	I wonder if it's my illusion, I feel so many images are repeated. Besides, I wonder if it's influenced by the fact that the images are simulated, I feel all the images look not very realistic. 
2022-03-30 13:33:30	Male	25	High school degree or equivalent (e.g., GED)	sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	388.487	
2022-03-30 14:36:06	Male	28	Some college but no degree	Sweden	I have seen computer graphics on tv, in films, in video games or in other media	normal vision	467.72700000000003	
2022-03-30 14:45:04	Female	29	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	601.298	I tried to stay consistent but it was a bit hard, I guess you are already aware of that though! Some images I didn't think any of them were more realistic than the other but I had to choose.
2022-03-30 15:31:31	Male	23	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	521.6	
2022-03-30 16:58:30	Female	23	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	375.127	
2022-03-30 17:14:34	Female	25	Bachelor degree	Sweden	I have seen computer graphics on tv, in films, in video games or in other media	normal vision	1299.855	
2022-03-31 08:27:11	Male	24	Master degree	Sweden	I have professional experience creating computer graphics	corrected-to-normal vision (i.e. glasses, contact lenses)	1715.979	Multiple pairings were very similar and I didn't prefer any of the options given. For these situations a scale (like "Left" "Mostly Left" "Neither" "Mostly Right" and "Right") would've have given a more representable option for me. Or just a simple "Neither" would probably suffice. 
2022-03-31 10:34:02	Male	33	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	649.178	Sometimes the two choices were (or seemed) identical. Just wanted to point out in case this wasn't intended, so that you're aware that people had to choose one even if they felt they were identical.
2022-03-31 10:43:12	Male	33	Some college but no degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	464.64300000000003	
2022-03-31 11:34:22	Male	22	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	433.5	Great job! Looks very good :)
2022-03-31 11:36:29	Female	35	Some college but no degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	437.535	
2022-03-31 11:36:48	Male	23	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	555.157	
2022-03-31 12:35:38	Male	24	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	343.15500000000003	
2022-03-31 13:27:56	Male	27	Master degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	554.408	make images responsive (I had to zoom out at 67% in my laptop to be able to complete the study)
2022-03-31 15:09:52	Male	26	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	770.562	
2022-04-01 21:03:37	Male	25	High school degree or equivalent (e.g., GED)	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	498.605	There were no option to say that neither looked more realistic, so I just had to randomly pick one. 
2022-04-04 09:31:11	Non-binary	27	Bachelor degree	Sweden	I have seen computer graphics on tv, in films, in video games or in other media	normal vision	612.8000000000001	
2022-04-04 13:05:05	Male	24	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	289.423	I'm red-green colorblind.
2022-04-04 13:31:38	Female	24	Some college but no degree	Sweden	I have seen computer graphics on tv, in films, in video games or in other media	normal vision	590.547	
2022-04-04 13:48:53	Female	22	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	276.319	
2022-04-04 17:06:57	Female	22	Master degree	swden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	309.742	
2022-04-04 18:46:47	Male	23	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	685.328	
2022-04-04 19:29:56	Male	28	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	normal vision	448.197	
2022-04-05 09:32:15	Female	25	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	308.199	
2022-04-05 10:19:05	Male	23	Bachelor degree	Sweden	I have limited experience creating computer graphics (e.g. as a hobby or in a university course)	corrected-to-normal vision (i.e. glasses, contact lenses)	571.785	
