S1	S2	S3	C1	C2	C3	c1	c2	c3
17	-1	-16	-1	3	-2	-1	3	-2
9	5	-14	-1	-3	4	-9	9	0
-5	11	-6	-3	-7	10	-13	5	8
17	-1	-16	1	3	-4	9	3	-12
13	3	-16	-3	-1	4	-7	-5	12
-3	3	0	5	-5	0	5	3	-8
11	5	-16	1	1	-2	5	-1	-4
17	-1	-16	-3	11	-8	5	-1	-4
-3	5	-2	-7	-3	10	7	-1	-6
-11	9	2	-5	-3	8	-13	3	10
15	1	-16	-3	3	0	-3	-3	6
1	11	-12	-3	1	2	-15	5	10
-3	15	-12	-9	-5	14	-17	3	14
17	-1	-16	-9	3	6	-1	7	-6
7	5	-12	-9	-5	14	-3	-7	10
-3	13	-10	-5	1	4	9	-3	-6
7	-3	-4	5	3	-8	5	-1	-4
17	-1	-16	3	5	-8	1	-1	0
-15	15	0	-11	-1	12	-17	3	14
15	1	-16	5	11	-16	-13	7	6
17	-1	-16	-1	3	-2	1	5	-6
13	3	-16	-3	7	-4	-7	1	6
3	-3	0	-5	5	0	-1	3	-2
13	3	-16	1	3	-4	-11	9	2
15	1	-16	7	-7	0	3	3	-6
9	7	-16	-5	9	-4	15	-5	-10
